id,title,ruby,key,lang,artist,mod,remarks
1,爱就一个字,,C,国语,张信哲,C→C#,
2,爱你一万年,,C,国语,刘德华,,
3,不潮不用花钱,,C,国语,林俊杰,,
4,唱得响亮,,C,国语,李宇春,,
5,大城小爱,,C,国语,王力宏,C→D,
6,当你,,C,国语,林俊杰,,
7,当我们宅一块,,C,国语,罗志祥,,
8,对面的女孩看过来,,C,国语,任贤齐,,
9,方圆几里,,C,国语,薛之谦,C→D,
10,粉红色的回忆,,C,国语,李玲玉,,
11,光阴的故事,,C,国语,罗大佑,,
12,好久不见,,C,国语,陈奕迅,,
13,红豆,,C,国语,王菲,,
14,红日,,C,国语,李克勤,,
15,红玫瑰,,C,国语,陈奕迅,,
16,花儿为什么这样红,,C,国语,吴影&于淑荣,,
17,九九艳阳天,,C,国语,蒋大为&宋祖英,,
18,卷珠帘,,C,国语,霍尊,C→G,
19,来自你，来自我，来自他,,C,国语,周华健,,
20,龙船调,,C,国语,宋祖英,,
21,锣鼓,,C,国语,林依轮,,
22,老男孩,,C,国语,筷子兄弟,,
23,牧马人,,C,国语,杨坤,,
24,那时雨,,C,国语,徐良,,
25,难念的经,,C,国语,周华健,,
26,你快回来,,C,国语,孙楠,,
27,你怎么舍得我难过,,C,国语,黄品源,,
28,牛仔很忙,,C,国语,周杰伦,,
29,蒲公英的约定,,C,国语,周杰伦,,
30,奇妙能力歌,,C,国语,陈粒,,
31,亲爱的是你把我宠坏,,C,国语,许茹芸,,
32,死了都要爱,,C,国语,信乐团,,
33,伤心的人别听慢歌,,C,国语,五月天,,
34,深海,,C,国语,,,《潜伏》结尾曲
35,生死不离,,C,国语,霍勇,,
36,十九恋歌,,C,国语,孙浩,,
37,十送红军,,C,国语,宋祖英,,
38,时间煮雨,,C,国语,郁可唯,,
39,说好的幸福呢,,C,国语,周杰伦,C→C#,
40,天上有没有北大荒,,C,国语,韩磊,,
41,往事只能回味,,C,国语,邓丽君,,
42,我的爱对你说,,C,国语,叶倩文,C→D,
43,我们拥抱亲吻相爱的人,,C,国语,鹿先森乐队,,
44,无所谓,,C,国语,杨坤,,
45,无与伦比的美丽,,C,国语,苏打绿,,
46,相思,,C,国语,毛阿敏,,《西游记后传》ED
47,相约,,C,国语,潘劲东,,
48,小城故事,,C,国语,邓丽君,,
49,笑红尘,,C,国语,陈淑桦,,
50,心会跟爱一起走,,C,国语,陈洁仪&郭峰,,
51,烟花易冷,,C,国语,林志炫,,
52,野百合也有春天,,C,国语,罗大佑,,
53,有多少爱可以重来,,C,国语,迪克牛仔,,
54,愚公移山,,C,国语,江涛,,
55,在水一方,,C,国语,邓丽君,,
56,知足是福,,C,国语,汤子星,,
57,追光者,,C,国语,岑宁儿,,
58,A Dog's Life,,C,英语,,,
59,Bad Romance,,C,英语,Lady Gaga,,
60,Bare Necessities,,C,英语,,,
61,Big Big World,,C,英语,Emilia Rydberg,,
62,Brave Heart,,C,日语,宫崎步,,
63,Continued Story,,C,日语,黒石ひとみ,,
64,Deja Vu,,C,英语,,,
65,Escape,,C,英语,Jaroslav Beck,,
66,Free Loop,,C,英语,Daniel Powter,,
67,Give Me Some Sunshine,,C,外语,,,
68,God only knows,,C,外语,ELISA,,《只有神知道的世界》OP
69,Inner Urge,,C,日语,上坂すみれ,C→B→C,《没有黄段子存在的无聊世界》ED
70,Jump,,C,英语,Van Halen,,
71,Like Humans Do,,C,英语,David Byrne,,
72,My Love,,C,英语,Westlife,C→D,
73,Servante du feu,,C,外语,,,《空之音》OP
74,What Are Words,,C,英语,,,
75,Your Reality,,C,英语,,,《Doki Doki Literature Club!》ED
76,いのちの名前,,C,日语,,C→D#,
